dataset,horizon,model,corruption,corruption_seed,mse,mae,rmse,clean_mse,relative_degradation_pct
ETTh1,336,ARRidge,tail_missing_12,43,0.10225236107194811,0.25000080181772466,0.31976923096500093,0.09709288688026804,5.313956930792041
ETTh1,336,PatchTST-M_s2026,tail_missing_12,43,0.09217889606952667,0.23918329179286957,0.30360978841781616,0.08508244901895523,8.34067088147692
ETTh1,336,PatchTST-M_s2027,tail_missing_12,43,0.09244751185178757,0.23977768421173096,0.30405181646347046,0.08603134006261826,7.457947051038927
ETTh1,336,PatchTST-M_s2028,tail_missing_12,43,0.0906371995806694,0.23717443645000458,0.30106014013290405,0.08415810763835907,7.698713913758648
ETTh1,336,Last,spikes_0.02,31,0.29999539256095886,0.3226783871650696,0.547718346118927,0.11327401548624039,164.84043253273728
ETTh1,336,ARRidge,spikes_0.02,31,0.11043785572170108,0.2562438097466301,0.33232191580108145,0.09709288688026804,13.744538112137539
ETTh1,336,PatchTST-M_s2026,spikes_0.02,31,0.18263143301010132,0.32881784439086914,0.42735397815704346,0.08508244901895523,114.65229917090593
ETTh1,336,PatchTST-M_s2027,spikes_0.02,31,0.15478570759296417,0.3022457957267761,0.39342814683914185,0.08603134006261826,79.91781539181278
ETTh1,336,PatchTST-M_s2028,spikes_0.02,31,0.14997942745685577,0.29746490716934204,0.3872717618942261,0.08415810763835907,78.21150173830131
ETTh1,336,Last,spikes_0.02,37,0.29297351837158203,0.319958359003067,0.5412702560424805,0.11327401548624039,158.64141666909487
ETTh1,336,ARRidge,spikes_0.02,37,0.10967677821779699,0.25549161684317595,0.33117484538804726,0.09709288688026804,12.9606727556129
ETTh1,336,PatchTST-M_s2026,spikes_0.02,37,0.18148113787174225,0.3274773061275482,0.426006019115448,0.08508244901895523,113.30032217491843
ETTh1,336,PatchTST-M_s2027,spikes_0.02,37,0.15074561536312103,0.29823973774909973,0.38825973868370056,0.08603134006261826,75.2217450680185
ETTh1,336,PatchTST-M_s2028,spikes_0.02,37,0.1526063084602356,0.2975699007511139,0.39064857363700867,0.08415810763835907,81.3328658909602
ETTh1,336,Last,spikes_0.02,43,0.2693234980106354,0.31414470076560974,0.5189638733863831,0.11327401548624039,137.76282394028013
ETTh1,336,ARRidge,spikes_0.02,43,0.10819055287976234,0.25445183140568883,0.32892332370897986,0.09709288688026804,11.429947502930471
