dataset,horizon,model_family,corruption,mse_mean,mse_std,degradation_pct_mean,degradation_pct_std,repeats
ETTh1,336,PatchTST-M,gaussian_0.10,0.08876460873418385,0.0011462593934286468,4.3179063689217365,0.9378058262374023,9
ETTh1,336,PatchTST-M,random_missing_0.10,0.08745426932970683,0.0008100034970554775,2.7783117471985412,0.25704470827745046,9
ETTh1,336,PatchTST-M,spikes_0.02,0.16161077717940012,0.014283014449069976,89.92951380092032,16.719334475675172,9
ETTh1,336,PatchTST-M,tail_missing_12,0.09175453583399455,0.0008460358311853184,7.832443948758165,0.3951706579771987,9
ETTh1,720,ARRidge,clean,0.15445524568591404,,0.0,,1
ETTh1,720,ARRidge,gaussian_0.10,0.15490267083116427,0.00021067342379338966,0.28967947528312593,0.13639771369227857,3
ETTh1,720,ARRidge,random_missing_0.10,0.15845377524858115,0.00015018901191863647,2.5887949256175657,0.09723788353815833,3
ETTh1,720,ARRidge,spikes_0.02,0.16486183742395402,0.0005365086215243336,6.737609779341436,0.3473553903214932,3
ETTh1,720,ARRidge,tail_missing_12,0.15831083809596996,0.0,2.496252162193513,0.0,3
ETTh1,720,Last,clean,0.1291794776916504,,0.0,,1
ETTh1,720,Last,gaussian_0.10,0.13943931460380554,0.0015802257990991944,7.942311809500609,1.22327929121309,3
ETTh1,720,Last,random_missing_0.10,0.12907804548740387,0.00019258945298826716,-0.07852037030885439,0.14908672525211342,3
ETTh1,720,Last,spikes_0.02,0.30133594075838727,0.02125729556139308,133.26920509593012,16.45562897547393,3
ETTh1,720,Last,tail_missing_12,0.13188865780830383,0.0,2.097221760812662,0.0,3
ETTh1,720,PatchTST-M,clean,0.09050163129965465,0.0013668777459237514,0.0,0.0,3
ETTh1,720,PatchTST-M,gaussian_0.10,0.09370901849534777,0.0010443057764467495,3.550429966911217,0.9999096387161356,9
ETTh1,720,PatchTST-M,random_missing_0.10,0.09384931292798784,0.0004422083590529455,3.711656702850124,1.1627158041574013,9
ETTh1,720,PatchTST-M,spikes_0.02,0.19093166291713715,0.008336363225189443,110.99119704701391,9.36250816254316,9
ETTh1,720,PatchTST-M,tail_missing_12,0.09908157835404079,0.0020331630339168573,9.471169363661161,0.8340009122294285,9
ETTh2,96,ARRidge,clean,0.12874973836964057,,0.0,,1
