domain,horizon,model,mse_mean,mae_mean,rmse_mean,mse_std,mae_std,rmse_std,mse_rank,best_simple_mse,improvement_vs_best_simple_pct
Energy,12,DLinear-U,0.0858606795469919,0.2091193993886312,0.2930123110612233,0.0015197649016985,0.0027712724286052,0.0025877615101331,3.0,0.083753807611207,-2.5155536158609055
Energy,12,DLinear-M,0.0878152623772621,0.2145777990420659,0.2963019013404846,0.0032997410560296,0.0081829718560999,0.0055383292545745,4.0,0.083753807611207,-4.8492777604915025
Energy,12,PatchTST,0.0911446859439214,0.2191900958617528,0.3018838763236999,0.0024359204430609,0.0053296958352114,0.0040274186791074,5.0,0.083753807611207,-8.824528154019635
Energy,12,SeasonalNaive,0.5222144097961141,0.5594393891049124,0.7226440408639057,0.0,0.0,0.0,6.0,0.083753807611207,-523.5112464621097
Energy,24,ARRidge,0.162511059231131,0.291019811989128,0.4031266044695276,0.0,0.0,0.0,1.0,0.1715791591801485,5.285082402983747
Energy,24,DLinear-U,0.1689146906137466,0.2980754474798838,0.4109864433606465,0.0022106481166131,0.0021444665789001,0.0026933182729127,2.0,0.1715791591801485,1.5529092106136027
Energy,24,Last,0.1715791591801485,0.2960007113244751,0.4142211476737378,0.0,0.0,0.0,3.0,0.1715791591801485,0.0
Energy,24,PatchTST,0.1830342759688695,0.3180903792381286,0.4278156260649363,0.0029807138911466,0.0037353811516623,0.0034786784254842,4.0,0.1715791591801485,-6.676286819131565
Energy,24,DLinear-M,0.1849508086840311,0.3225877483685811,0.4286207755406697,0.0378436847374899,0.0441221546816404,0.043041310194747,5.0,0.1715791591801485,-7.793283034941984
Energy,24,SeasonalNaive,0.5385456161456389,0.570283907277435,0.733856672754046,0.0,0.0,0.0,6.0,0.1715791591801485,-213.87589187343914
Traffic,3,PatchTST,0.0791782612601916,0.1257909586032231,0.2813850541909535,0.000582445777904,0.0003179680940163,0.0010350914434223,1.0,0.1228748734301375,35.561877664753254
Traffic,3,DLinear-M,0.0810220489899317,0.130005473891894,0.2846229175726573,0.0023895731270131,0.0043015487801578,0.0042157360821172,2.0,0.1228748734301375,34.06133676630145
