domain,horizon,model,mse,mae,rmse,improvement_vs_fallback_pct,loss_difference_vs_fallback,block_ci_low,block_ci_high,test_windows
Agriculture,3,Last,0.04063190121065581,0.14463453240452584,0.20157356277710578,0.0,0.0,0.0,0.0,105
Agriculture,3,semantic_residual,0.0396564195098385,0.14412142053602195,0.19913919631714522,2.4007778906527832,0.0009754817008173016,-0.0003379050541681755,0.0030975128084077493,105
Agriculture,3,frequency_residual,0.04017781784452054,0.1450762428404904,0.200444051656617,1.1175538249639794,0.000454083366135271,-0.0006536473693500756,0.0020367196351382703,105
Agriculture,3,SafeFAME-TS-v2,0.04063190121065581,0.14463453240452584,0.20157356277710578,0.0,0.0,0.0,0.0,105
Agriculture,6,Last,0.08335565161688217,0.19795652206016617,0.2887137884079702,0.0,0.0,0.0,0.0,102
Agriculture,6,semantic_residual,0.07980450082322668,0.19768863734299894,0.2824969040949417,4.260239977460955,0.0035511507936554906,-0.000982276078726265,0.01095181563678868,102
Agriculture,6,frequency_residual,0.08060222384339755,0.19923168900401206,0.2839053078816906,3.3032286594553706,0.002753427773484646,-0.0015265915818848726,0.009212588186190803,102
Agriculture,6,SafeFAME-TS-v2,0.08335565161688217,0.19795652206016617,0.2887137884079702,0.0,0.0,0.0,0.0,102
Agriculture,12,PatchTST,0.25711786123201946,0.3550288730423905,0.5070679059376756,0.0,0.0,0.0,0.0,96
Agriculture,12,semantic_residual,0.17022641244239642,0.2732692410616905,0.41258503661959967,33.7944040033895,0.08689144878962306,0.020200258615760244,0.18916937222615846,96
Agriculture,12,frequency_residual,0.17155088318203932,0.2754203162996847,0.41418701474338776,33.279281975967336,0.08556697804998013,0.020480924709616113,0.18450357886613433,96
Agriculture,12,SafeFAME-TS-v2,0.25711786123201946,0.3550288730423905,0.5070679059376756,0.0,0.0,0.0,0.0,96
Security,3,PatchTST,72.90941753609758,4.631401981495022,8.538701162126332,0.0,0.0,0.0,0.0,60
Security,3,semantic_residual,90.27022189563053,4.455897765257406,9.501064250684264,-23.8114703782095,-17.360804359532953,-71.62794478011446,17.67617354659149,60
Security,3,frequency_residual,97.8799859096856,4.637157828811971,9.89343145272082,-34.24875580884328,-24.970568373588,-92.7639785631953,16.677256601135618,60
Security,3,SafeFAME-TS-v2,72.90941753609758,4.631401981495022,8.538701162126332,0.0,0.0,0.0,0.0,60
Security,6,PatchTST,77.78014437332554,4.948193115156693,8.819305209217195,0.0,0.0,0.0,0.0,57
Security,6,semantic_residual,73.59793520707848,4.308641971871143,8.578923895633908,5.376962462519341,4.182209166247073,-16.41272319466219,27.700683303950658,57
Security,6,frequency_residual,98.91759506563339,4.775741239121255,9.945732505232252,-27.175895419855856,-21.137450692307837,-95.14644729570107,28.865251075851432,57
Security,6,SafeFAME-TS-v2,77.78014437332554,4.948193115156693,8.819305209217195,0.0,0.0,0.0,0.0,57
Security,12,DLinear-M,72.19620883199083,3.904834719765869,8.496835224481574,0.0,0.0,0.0,0.0,51
Security,12,semantic_residual,85.19860106378088,4.852320579860559,9.23030882819101,-18.00979918772212,-13.002392231790074,-32.15961840506378,-1.4680800302876704,51
Security,12,frequency_residual,115.82010217208412,5.081342512879909,10.76197482677246,-60.424077726312866,-43.62389334009332,-135.4869138112693,5.823977357549605,51
Security,12,SafeFAME-TS-v2,72.19620883199083,3.904834719765869,8.496835224481574,0.0,0.0,0.0,0.0,51
