domain,horizon,fold,fallback,selected,fallback_mse,selected_mse,selected_gain_pct,selected_delta,selected_ci_low,selected_ci_high,cal_windows,decision_windows,test_windows,block_length,decision_blocks,segment1_windows,segment2_windows,text_coverage_pct,train_text_coverage_pct,seconds
SocialGood,12,2,AR-Ridge,numeric_fallback,0.09795197788371514,0.09795197788371514,0.0,0.0,0.0,0.0,80,172,81,12,14,80,81,100.0,14.657210401891252,22.36782299999959
SocialGood,12,3,PatchTST,numeric_fallback,2.669968086264897,2.669968086264897,0.0,0.0,0.0,0.0,81,172,81,12,14,80,81,100.0,29.766536964980546,25.670544200000222
SocialGood,1,1,PatchTST,numeric_fallback,0.01407802603259998,0.01407802603259998,0.0,0.0,0.0,0.0,92,183,91,12,15,91,92,100.0,0.0,33.9252005999997
SocialGood,1,2,PatchTST,numeric_fallback,0.02133977929661616,0.02133977929661616,0.0,0.0,0.0,0.0,91,183,92,12,15,91,92,100.0,16.82027649769585,38.968927599999915
SocialGood,1,3,PatchTST,numeric_fallback,0.7071679202299394,0.7071679202299394,0.0,0.0,0.0,0.0,92,183,92,12,15,91,92,100.0,31.238095238095237,42.79731090000041
SocialGood,3,1,PatchTST,numeric_fallback,0.026978152199873238,0.026978152199873238,0.0,0.0,0.0,0.0,90,181,89,12,15,89,90,100.0,0.0,36.238235099999656
SocialGood,3,2,PatchTST,numeric_fallback,0.051643916264430496,0.051643916264430496,0.0,0.0,0.0,0.0,89,181,90,12,15,89,90,100.0,16.435185185185187,39.66667149999921
SocialGood,3,3,PatchTST,numeric_fallback,1.482038993800368,1.482038993800368,0.0,0.0,0.0,0.0,90,181,90,12,15,89,90,100.0,30.975143403441685,43.3953018000002
SocialGood,6,1,PatchTST,numeric_fallback,0.05177038889034715,0.05177038889034715,0.0,0.0,0.0,0.0,87,178,86,12,14,86,87,100.0,0.0,33.26365650000025
SocialGood,6,2,AR-Ridge,numeric_fallback,0.05239671329771269,0.05239671329771269,0.0,0.0,0.0,0.0,86,178,87,12,14,86,87,100.0,15.85081585081585,20.946457399999417
SocialGood,6,3,PatchTST,numeric_fallback,2.1533605492414947,2.1533605492414947,0.0,0.0,0.0,0.0,87,178,87,12,14,86,87,100.0,30.57692307692308,35.483017700000346
Traffic,12,1,PatchTST,numeric_fallback,0.035884190198177575,0.035884190198177575,0.0,0.0,0.0,0.0,54,119,54,12,9,54,54,100.0,56.888888888888886,26.23480709999967
Traffic,12,2,PatchTST,numeric_fallback,0.00935402361306479,0.00935402361306479,0.0,0.0,0.0,0.0,54,119,54,12,9,54,54,100.0,66.55172413793103,29.952562899999975
Traffic,12,3,PatchTST,numeric_fallback,0.3216297957262148,0.3216297957262148,0.0,0.0,0.0,0.0,54,119,55,12,9,54,54,100.0,72.67605633802818,31.908441999999923
Traffic,1,1,PatchTST,numeric_fallback,0.023309075282934435,0.023309075282934435,0.0,0.0,0.0,0.0,65,130,65,12,10,65,65,100.0,58.89830508474576,20.56669039999997
Traffic,1,2,PatchTST,numeric_fallback,0.008413754073581182,0.008413754073581182,0.0,0.0,0.0,0.0,65,130,65,12,10,65,65,100.0,67.77408637873754,20.01351160000013
Traffic,1,3,PatchTST,numeric_fallback,0.15853653067155168,0.15853653067155168,0.0,0.0,0.0,0.0,65,130,66,12,10,65,65,100.0,73.49726775956285,28.365941400000338
Traffic,3,1,PatchTST,numeric_fallback,0.02727507206077249,0.02727507206077249,0.0,0.0,0.0,0.0,63,128,63,12,10,63,63,100.0,58.54700854700855,25.55413750000025
Traffic,3,2,PatchTST,numeric_fallback,0.008204192268506556,0.008204192268506556,0.0,0.0,0.0,0.0,63,128,63,12,10,63,63,100.0,67.55852842809364,28.246904800000266
Traffic,3,3,AR-Ridge,numeric_fallback,0.2553362879350569,0.2553362879350569,0.0,0.0,0.0,0.0,63,128,64,12,10,63,63,100.0,73.35164835164835,19.18711499999972
Traffic,6,1,PatchTST,numeric_fallback,0.03259685946428305,0.03259685946428305,0.0,0.0,0.0,0.0,60,125,60,12,10,60,60,100.0,58.00865800865801,25.974691000000348
Traffic,6,2,PatchTST,numeric_fallback,0.008722285508796982,0.008722285508796982,0.0,0.0,0.0,0.0,60,125,60,12,10,60,60,100.0,67.22972972972973,28.98859850000008
Traffic,6,3,PatchTST,numeric_fallback,0.26108756579426706,0.26108756579426706,0.0,0.0,0.0,0.0,60,125,61,12,10,60,60,100.0,73.13019390581718,30.279433900000186
