domain,horizon,fold,variant,mse,mae,rmse,fallback,selected_path,improvement_vs_fallback_pct,delta,ci_low,ci_high,matched_delta,matched_ci_low,matched_ci_high,matched_control_alpha,circular_p_value,alpha,decision_mse,p_value,segment_wins,eligible,test_windows,calibration_windows,decision_windows,block_length,power_nonoverlapping_blocks,approx_mde,approx_mde_pct,bootstrap_seed
Economy,1,1,semantic_residual,0.3919706605360536,0.509607534357551,0.6260756028915786,PatchTST,numeric_fallback,-72.58787908227629,-0.1648569937940265,-0.2319662955927582,-0.0077793990170979,0.0078882893216555,-0.010850434062341,0.0123210570818122,10.0,0.108,10.0,0.3755035936878535,0.106,False,False,45,45,89,12,7,0.0781622546303521,20.51096135292908,9010
Economy,1,1,frequency_residual,0.6834124441857282,0.6159387086396113,0.8266876339862163,PatchTST,numeric_fallback,-200.9120736719028,-0.4562987774437013,-0.7124411144090644,-0.1513060663555613,-0.2608521700596808,-0.4540551993568411,-0.1007989428104954,10.0,0.25,100.0,0.8528332467648596,0.995,False,False,45,45,89,12,7,0.4134675763752999,107.4159818543532,9011
Economy,1,2,semantic_residual,0.2000957683459953,0.3785469941705092,0.4473206549512277,AR-Ridge,numeric_fallback,-28.92338977745772,-0.0448905967387388,-0.0624482061358676,-0.0191780919113997,-0.0429023401342721,-0.0586517518918933,-0.0220308822368496,1.0,0.127,10.0,0.1630990373245106,0.956,False,False,45,45,89,12,7,0.057781422912499,45.98405059601672,9110
Economy,1,2,frequency_residual,0.3669745723867405,0.4919590665805152,0.6057842622474939,AR-Ridge,numeric_fallback,-136.44480952951895,-0.211769400779484,-0.2906878018991419,-0.1472947997460715,-0.2124104160308228,-0.2930334477038455,-0.147665459828504,0.0001,0.905,1000.0,0.2505506172530254,0.236,False,False,45,45,89,12,7,0.1691699850819894,121.44489398768312,9111
Economy,1,3,semantic_residual,0.1446814750579464,0.2899522066115488,0.3803701816098975,PatchTST,numeric_fallback,-11.55553693225746,-0.0149869040517535,-0.0457187714206745,0.0081781124317122,-0.0148953708564616,-0.0515745040987819,0.0264518373706654,0.1,0.297,10.0,0.1021489558182306,0.966,False,False,45,44,90,12,7,0.0380110306818546,52.67874286186516,9210
Economy,1,3,frequency_residual,0.1895861000344504,0.3324000469736811,0.4354148596849336,PatchTST,numeric_fallback,-46.178902141861975,-0.0598915290282574,-0.1211006011174136,0.0025607695947244,-0.047909942385072,-0.0872648799446178,-0.007601236670152,10.0,0.439,1000.0,0.1754892304189551,0.352,False,False,45,44,90,12,7,0.0508434349496118,44.35336675722935,9211
Economy,3,1,semantic_residual,0.5802694175946066,0.605141300633964,0.7617541713667255,AR-Ridge,numeric_fallback,-55.00748836145852,-0.2059201369705058,-0.306665215529143,-0.0918087863974694,-0.2427486691948607,-0.3270664544471759,-0.1386352880105254,10.0,0.054,100.0,0.5731127422254637,0.98,True,False,43,43,87,12,7,0.3560415321352971,69.25696066161056,9030
Economy,3,1,frequency_residual,0.907919628437456,0.7025084505367983,0.9528481665183892,AR-Ridge,numeric_fallback,-142.5327562868045,-0.5335703478133552,-0.9222040115060796,-0.3253276376241786,-0.1572697007721145,-0.5138663271138078,0.0104673491845452,1000.0,0.46,100.0,0.8831033092179637,1.0,True,False,43,43,87,12,7,0.236817294216911,31.0718187269714,9031
Economy,3,2,semantic_residual,0.1922072228279339,0.3604605005752923,0.4384144418560295,PatchTST,numeric_fallback,-12.370320497027045,-0.0211591898795727,-0.0567991213079845,0.0076476066148643,0.0011053666775279,-0.0287440162366476,0.025942613675774,1.0,0.065,1.0,0.1350807757895915,0.544,False,False,43,43,87,12,7,0.0276043063177229,21.071561918329515,9130
Economy,3,2,frequency_residual,0.423870445923445,0.5392509062206902,0.6510533356979634,PatchTST,numeric_fallback,-147.80784591156913,-0.2528224129750838,-0.33405414678218,-0.153789400845693,-0.2370192397123733,-0.3202209226808173,-0.1301241826230154,0.0001,0.939,1000.0,0.2595402681457844,0.307,False,False,43,43,87,12,7,0.099121861589911,49.21879108367108,9131
Economy,3,3,semantic_residual,0.155441234255284,0.3076242512839798,0.3942603635356768,AR-Ridge,numeric_fallback,-5.827384568092309,-0.0085593710308661,-0.0306439283116058,0.0013345180771379,-0.0029829728275088,-0.0228639707633117,0.0119021665537741,10.0,0.547,10.0,0.0994798768994853,0.51,False,False,43,42,88,12,7,0.0042929712099571,4.374968053915369,9230
Economy,3,3,frequency_residual,0.1917167668301198,0.346428370304163,0.4378547325656304,AR-Ridge,numeric_fallback,-30.524465459155834,-0.0448349036057019,-0.0673262050037266,-0.023162121993366,-0.019365997663658,-0.0335573082888173,0.0006852119826249,100.0,0.89,1000.0,0.2039188662167509,0.446,False,False,43,42,88,12,7,0.0461320975303641,30.55209508417557,9231
Economy,6,1,semantic_residual,0.6851712569377227,0.6591563451112032,0.8277507214963469,AR-Ridge,numeric_fallback,-83.50364963483503,-0.3117883524008448,-0.3947138748381471,-0.2025734467225186,-0.0112021035908284,-0.0411069770804555,0.0315692291960263,100.0,0.499,100.0,0.9182322360936324,0.467,True,False,40,40,84,12,7,0.3522172071483672,38.47762263392882,9060
Economy,6,1,frequency_residual,1.0388120537670589,0.8265791003510277,1.0192212977401225,AR-Ridge,numeric_fallback,-178.21628712635902,-0.665429149230181,-0.7995481469417204,-0.5206407039263086,-0.0690773856035942,-0.0773185893909212,-0.0584477631313958,1000.0,0.281,10000.0,1.3792149934665072,0.493,True,False,40,40,84,12,7,0.0590195460167663,4.7290301861437865,9061
Economy,6,2,semantic_residual,0.3253708154918828,0.4632135328280201,0.5704128465347558,PatchTST,numeric_fallback,-69.00127748361288,-0.1328451610491629,-0.2942796314667237,-0.0275863264073735,-0.1069785188128573,-0.2624625753551557,-0.0098147763686758,0.1,0.001,0.1,0.1401397192455174,0.001,False,False,40,40,84,12,7,0.0733514293779904,42.6845351849592,9160
Economy,6,2,frequency_residual,0.4411060141360499,0.5282644785124464,0.6641581243469434,PatchTST,numeric_fallback,-129.11544719214936,-0.2485803596933299,-0.478606655692888,-0.1388274663857694,-0.2201904261888624,-0.464156218765762,-0.105843559339337,0.0001,0.614,100.0,0.3463913003112103,0.163,False,False,40,40,84,12,7,0.1093260335851143,31.533852577364613,9161
Economy,6,3,semantic_residual,0.223549397477222,0.3773254881751028,0.4728101072071345,PatchTST,numeric_fallback,2.0005826044261155,0.0045635887203046,-0.0263553127728777,0.0245437584022653,-0.0058018709627854,-0.0261999210486296,0.0141336152504934,100.0,0.547,100.0,0.1682858640379094,0.842,False,False,40,39,85,12,7,0.0066116773193687,3.997227855915501,9260
